Child's First Name,TotalCount,Gender,Year of Birth
Jayden,822,MALE,2011
Liam,762,MALE,2018
Ethan,753,MALE,2015
Jayden,752,MALE,2012
Liam,743,MALE,2019
Jayden,742,MALE,2013
Ethan,728,MALE,2014
Ethan,723,MALE,2012
Liam,722,MALE,2017
Liam,699,MALE,2016
Jacob,699,MALE,2011
Liam,694,MALE,2021
Liam,691,MALE,2015
Jacob,689,MALE,2016
Ethan,688,MALE,2013
Ethan,683,MALE,2016
Liam,676,MALE,2020
Noah,672,MALE,2021
Ethan,670,MALE,2011
Jacob,669,MALE,2014
Noah,655,MALE,2019
Jacob,654,MALE,2013
Noah,653,MALE,2015
Noah,647,MALE,2018
Jacob,642,MALE,2015
Jacob,641,MALE,2012
Noah,638,MALE,2017
Jacob,633,MALE,2017
Daniel,627,MALE,2013
Sophia,626,FEMALE,2013
Liam,625,MALE,2014
Daniel,625,MALE,2012
Noah,621,MALE,2016
Jayden,609,MALE,2014
Noah,608,MALE,2020
Sophia,601,FEMALE,2012
Matthew,598,MALE,2011
Michael,597,MALE,2011
Daniel,596,MALE,2011
Isabella,593,FEMALE,2011
Matthew,592,MALE,2012
Olivia,589,FEMALE,2015
Noah,589,MALE,2014
Isabella,587,FEMALE,2013
Michael,584,MALE,2012
David,583,MALE,2013
Aiden,582,MALE,2012
Sophia,578,FEMALE,2014
David,572,MALE,2012
Daniel,569,MALE,2014
Jayden,567,MALE,2015
Michael,566,MALE,2014
Matthew,562,MALE,2015
Emma,561,FEMALE,2017
Noah,561,MALE,2013
Olivia,559,FEMALE,2016
Ryan,559,MALE,2012
Isabella,557,FEMALE,2012
Isabella,553,FEMALE,2014
Sophia,552,FEMALE,2011
Justin,551,MALE,2011
Ethan,551,MALE,2018
Sophia,549,FEMALE,2016
David,548,MALE,2011
David,545,MALE,2015
Alexander,542,MALE,2012
Jacob,540,MALE,2018
Michael,540,MALE,2013
Ethan,540,MALE,2017
Alexander,538,MALE,2014
Olivia,537,FEMALE,2014
Matthew,532,MALE,2016
Matthew,532,MALE,2013
Joseph,531,MALE,2012
Ethan,531,MALE,2019
Aiden,529,MALE,2011
Aiden,529,MALE,2016
Daniel,529,MALE,2015
Sophia,525,FEMALE,2015
Dylan,525,MALE,2015
Alexander,524,MALE,2013
Mia,522,FEMALE,2014
Emma,521,FEMALE,2016
Aiden,521,MALE,2015
Daniel,517,MALE,2016
David,515,MALE,2014
Emma,514,FEMALE,2013
Emma,512,FEMALE,2015
Matthew,511,MALE,2014
Olivia,508,FEMALE,2017
David,507,MALE,2017
Mia,506,FEMALE,2015
Mia,505,FEMALE,2017
Alexander,502,MALE,2011
Aiden,499,MALE,2014
Liam,498,MALE,2013
Michael,497,MALE,2016
Lucas,497,MALE,2016
Dylan,497,MALE,2013
Isabella,496,FEMALE,2015
Aiden,495,MALE,2013
Michael,495,MALE,2015
Emma,494,FEMALE,2018
Olivia,493,FEMALE,2013
Dylan,492,MALE,2016
Emma,491,FEMALE,2014
Emma,490,FEMALE,2019
Dylan,489,MALE,2014
Matthew,486,MALE,2017
Alexander,486,MALE,2015
Joseph,484,MALE,2013
Sophia,482,FEMALE,2017
Jacob,482,MALE,2019
Jayden,481,MALE,2017
Lucas,481,MALE,2017
Emma,477,FEMALE,2012
Joseph,477,MALE,2011
Isabella,476,FEMALE,2018
David,476,MALE,2016
Aiden,472,MALE,2018
Joseph,472,MALE,2015
Emily,468,FEMALE,2012
Lucas,467,MALE,2014
Isabella,467,FEMALE,2017
Alexander,467,MALE,2016
Ryan,466,MALE,2013
Olivia,465,FEMALE,2012
Mia,465,FEMALE,2013
Jayden,462,MALE,2016
Lucas,462,MALE,2015
Justin,462,MALE,2012
Jacob,461,MALE,2020
Mia,461,FEMALE,2016
Joseph,459,MALE,2014
David,459,MALE,2018
Isabella,457,FEMALE,2016
Daniel,457,MALE,2017
Sophia,456,FEMALE,2018
Joseph,454,MALE,2017
Anthony,454,MALE,2011
Mia,453,FEMALE,2018
Aiden,453,MALE,2017
Mason,453,MALE,2012
Lucas,453,MALE,2019
Lucas,452,MALE,2013
Olivia,451,FEMALE,2018
Olivia,450,FEMALE,2019
Ryan,450,MALE,2014
Mason,447,MALE,2014
Lucas,446,MALE,2018
Sophia,445,FEMALE,2019
Ethan,444,MALE,2020
Dylan,443,MALE,2012
Joshua,443,MALE,2011
Emily,442,FEMALE,2014
Dylan,441,MALE,2017
Noah,441,MALE,2012
Ava,440,FEMALE,2016
Olivia,440,FEMALE,2011
Mason,439,MALE,2013
Ryan,439,MALE,2011
Mia,435,FEMALE,2019
Ryan,434,MALE,2016
Ava,433,FEMALE,2017
Emma,433,FEMALE,2020
Mia,433,FEMALE,2012
Matthew,433,MALE,2018
Christopher,432,MALE,2011
Anthony,430,MALE,2012
Emma,426,FEMALE,2021
Michael,426,MALE,2017
Joshua,425,MALE,2012
Ryan,424,MALE,2015
Emily,424,FEMALE,2013
Aiden,424,MALE,2019
Joseph,420,MALE,2016
Ryan,419,MALE,2017
Daniel,419,MALE,2019
Emma,417,FEMALE,2011
Mia,417,FEMALE,2011
Michael,415,MALE,2019
Daniel,414,MALE,2018
Sebastian,412,MALE,2015
David,412,MALE,2019
Dylan,410,MALE,2018
Alexander,410,MALE,2018
Mason,409,MALE,2015
Alexander,406,MALE,2017
Emily,404,FEMALE,2011
Leah,403,FEMALE,2015
James,403,MALE,2015
Matthew,403,MALE,2019
Joshua,402,MALE,2013
Jayden,400,MALE,2018
Isabella,398,FEMALE,2019
Leah,395,FEMALE,2017
Emily,395,FEMALE,2015
Chloe,395,FEMALE,2012
Ethan,395,MALE,2021
Mason,394,MALE,2017
Anthony,393,MALE,2013
Sophia,393,FEMALE,2020
Liam,393,MALE,2012
Michael,392,MALE,2018
