ChildsFirstName,YearOfBirth,TotalBoys,TotalGirls,TotalCount,PercentageBoys,PercentageGirls
Eden,2011,0,35,35,0.00%,100.00%
Peyton,2011,0,20,20,0.00%,100.00%
Emerson,2011,0,16,16,0.00%,100.00%
Yael,2011,0,21,21,0.00%,100.00%
Jaylin,2011,0,13,13,0.00%,100.00%
Jamie,2011,0,11,11,0.00%,100.00%
Shiloh,2011,0,15,15,0.00%,100.00%
Quinn,2011,13,10,23,56.52%,43.48%
Alexis,2011,55,40,95,57.89%,42.11%
Avery,2011,32,52,84,38.10%,61.90%
Cameron,2011,93,11,104,89.42%,10.58%
Blake,2011,33,14,47,70.21%,29.79%
Riley,2011,32,55,87,36.78%,63.22%
Dylan,2011,358,31,389,92.03%,7.97%
Taylor,2011,10,91,101,9.90%,90.10%
Milan,2011,0,28,28,0.00%,100.00%
Parker,2011,16,13,29,55.17%,44.83%
Ariel,2011,56,63,119,47.06%,52.94%
Charlie,2011,20,14,34,58.82%,41.18%
Finley,2011,0,11,11,0.00%,100.00%
Ryan,2011,439,14,453,96.91%,3.09%
Kai,2011,41,10,51,80.39%,19.61%
Angel,2011,263,38,301,87.38%,12.62%
Tenzin,2011,24,26,50,48.00%,52.00%
Nana,2011,10,10,20,50.00%,50.00%
Jia,2011,15,12,27,55.56%,44.44%
Jordan,2011,180,0,180,100.00%,0.00%
Logan,2011,156,0,156,100.00%,0.00%
Rowan,2011,12,0,12,100.00%,0.00%
Shea,2011,16,0,16,100.00%,0.00%
Elliott,2011,12,0,12,100.00%,0.00%
Sage,2012,0,10,10,0.00%,100.00%
Eden,2012,0,26,26,0.00%,100.00%
Milan,2012,0,23,23,0.00%,100.00%
Emerson,2012,0,11,11,0.00%,100.00%
Taylor,2012,0,97,97,0.00%,100.00%
Phoenix,2012,0,11,11,0.00%,100.00%
Jaylin,2012,0,15,15,0.00%,100.00%
Jamie,2012,0,17,17,0.00%,100.00%
Jordan,2012,158,22,180,87.78%,12.22%
Quinn,2012,12,20,32,37.50%,62.50%
Alexis,2012,48,53,101,47.52%,52.48%
Avery,2012,44,114,158,27.85%,72.15%
Riley,2012,27,73,100,27.00%,73.00%
Peyton,2012,12,63,75,16.00%,84.00%
Dylan,2012,443,23,466,95.06%,4.94%
Ariel,2012,38,75,113,33.63%,66.37%
Ryan,2012,559,13,572,97.73%,2.27%
Yael,2012,15,23,38,39.47%,60.53%
Angel,2012,236,28,264,89.39%,10.61%
Tenzin,2012,30,31,61,49.18%,50.82%
Logan,2012,199,0,199,100.00%,0.00%
Rory,2012,15,0,15,100.00%,0.00%
Rowan,2012,12,0,12,100.00%,0.00%
Cameron,2012,93,0,93,100.00%,0.00%
Shea,2012,11,0,11,100.00%,0.00%
Blake,2012,60,0,60,100.00%,0.00%
Elliott,2012,10,0,10,100.00%,0.00%
Parker,2012,22,0,22,100.00%,0.00%
Charlie,2012,42,0,42,100.00%,0.00%
Kai,2012,46,0,46,100.00%,0.00%
Skyler,2012,11,0,11,100.00%,0.00%
Ariel,2013,28,83,111,25.23%,74.77%
Sage,2013,0,10,10,0.00%,100.00%
Emerson,2013,0,15,15,0.00%,100.00%
Yael,2013,0,15,15,0.00%,100.00%
Phoenix,2013,0,12,12,0.00%,100.00%
Jamie,2013,0,11,11,0.00%,100.00%
Jordan,2013,151,10,161,93.79%,6.21%
Quinn,2013,10,20,30,33.33%,66.67%
Alexis,2013,42,37,79,53.16%,46.84%
Avery,2013,60,107,167,35.93%,64.07%
Eden,2013,10,30,40,25.00%,75.00%
Milan,2013,14,38,52,26.92%,73.08%
Riley,2013,46,80,126,36.51%,63.49%
Peyton,2013,16,65,81,19.75%,80.25%
Dylan,2013,497,12,509,97.64%,2.36%
Taylor,2013,11,98,109,10.09%,89.91%
Angel,2013,218,31,249,87.55%,12.45%
Jaylin,2013,10,19,29,34.48%,65.52%
Tenzin,2013,25,31,56,44.64%,55.36%
Logan,2013,231,0,231,100.00%,0.00%
Rory,2013,10,0,10,100.00%,0.00%
Rowan,2013,14,0,14,100.00%,0.00%
Cameron,2013,95,0,95,100.00%,0.00%
Shea,2013,19,0,19,100.00%,0.00%
Blake,2013,69,0,69,100.00%,0.00%
Elliott,2013,12,0,12,100.00%,0.00%
Parker,2013,31,0,31,100.00%,0.00%
Charlie,2013,40,0,40,100.00%,0.00%
Ryan,2013,466,0,466,100.00%,0.00%
Kai,2013,59,0,59,100.00%,0.00%
Skyler,2013,10,0,10,100.00%,0.00%
Peyton,2014,14,65,79,17.72%,82.28%
Yael,2014,0,16,16,0.00%,100.00%
Phoenix,2014,0,10,10,0.00%,100.00%
Jaylin,2014,0,14,14,0.00%,100.00%
Shiloh,2014,0,10,10,0.00%,100.00%
Jordan,2014,153,13,166,92.17%,7.83%
Logan,2014,269,14,283,95.05%,4.95%
Quinn,2014,14,26,40,35.00%,65.00%
Rowan,2014,15,10,25,60.00%,40.00%
Alexis,2014,40,49,89,44.94%,55.06%
Avery,2014,46,136,182,25.27%,74.73%
Eden,2014,17,14,31,54.84%,45.16%
